"REF_DATE","GEO","DGUID","Airports","Class of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2016A000011124","Total, all airports","Total, itinerant and local movements","Number","223","units","0","v1376030860","1.100001.1","279865","","","","0"
"2022-01","Canada","2016A000011124","Total, all airports","Itinerant movements","Number","223","units","0","v1376030861","1.100001.2","200691","","","","0"
"2022-01","Canada","2016A000011124","Total, all airports","Local movements","Number","223","units","0","v1376030862","1.100001.3","79174","","","","0"
"2022-01","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Total, itinerant and local movements","Number","223","units","0","v1376030863","1.100002.1","265380","","","","0"
"2022-01","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Itinerant movements","Number","223","units","0","v1376030864","1.100002.2","187040","","","","0"
"2022-01","Canada","2016A000011124","Total, NAV CANADA towers and flight service stations","Local movements","Number","223","units","0","v1376030865","1.100002.3","78340","","","","0"
"2022-01","Canada","2016A000011124","Total, non-NAV CANADA airports","Total, itinerant and local movements","Number","223","units","0","v1376030866","1.100003.1","14485","","","","0"
"2022-01","Canada","2016A000011124","Total, non-NAV CANADA airports","Itinerant movements","Number","223","units","0","v1376030867","1.100003.2","13651","","","","0"
"2022-01","Canada","2016A000011124","Total, non-NAV CANADA airports","Local movements","Number","223","units","0","v1376030868","1.100003.3","834","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, all airports","Total, itinerant and local movements","Number","223","units","0","v1376030869","1010.100001.1","6807","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, all airports","Itinerant movements","Number","223","units","0","v1376030870","1010.100001.2","5831","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, all airports","Local movements","Number","223","units","0","v1376030871","1010.100001.3","976","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Total, itinerant and local movements","Number","223","units","0","v1376030872","1010.100002.1","5094","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Itinerant movements","Number","223","units","0","v1376030873","1010.100002.2","4118","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Local movements","Number","223","units","0","v1376030874","1010.100002.3","976","","","","0"
