"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Other commercial movements","Number","223","units","0","v1376028402","1.5055.3","2373","","","","0"
"2022-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Private movements","Number","223","units","0","v1376028403","1.5055.4","1046","","","","0"
"2022-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Government civil movements","Number","223","units","0","v1376028404","1.5055.5","2","","","","0"
"2022-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Government military movements","Number","223","units","0","v1376028405","1.5055.6","","..","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028046","1.105.1","181","","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376028047","1.105.2","59","","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Other commercial movements","Number","223","units","0","v1376028048","1.105.3","32","","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Private movements","Number","223","units","0","v1376028049","1.105.4","68","","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Government civil movements","Number","223","units","0","v1376028050","1.105.5","5","","","","0"
"2022-01","Canada","2021A000011124","Campbell River, British Columbia","Government military movements","Number","223","units","0","v1376028051","1.105.6","","..","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027884","1.60.1","29","","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027885","1.60.2","14","","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Other commercial movements","Number","223","units","0","v1376027886","1.60.3","","..","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Private movements","Number","223","units","0","v1376027887","1.60.4","15","","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Government civil movements","Number","223","units","0","v1376027888","1.60.5","","..","","","0"
"2022-01","Canada","2021A000011124","Castlegar, British Columbia","Government military movements","Number","223","units","0","v1376027889","1.60.6","","..","","","0"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027890","1.63.1","137","","","","0"
